Division,Province,CityTownVillage,Store Name,Phone
Central,Serua,Navua,Jaijas Chemicals,9839286
Central,Serua,Navua,Prime Timber,9625456
Central,Serua,Navua,R.C. Manubhai,9985722
Central,Serua,Navua,Navua Post Office,3460110
Central,Serua,Pacific Harbour,Pacific Harbour Post Office,3450346
Central,Rewa,Suva,Hop Tiy,3300875
Central,Naitasiri,Nakasi,G.M.R. Muhammad & Sons,3410155
Central,Naitasiri,Nakasi,Nakasi Post Office,3411277
Central,Naitasiri,Nasinu,Valelevu Post Office,3392101
Central,Tailevu,Nausori,Nausori Post Office,3477740
Central,Tailevu,Nausori,Coastal Supplies,9996006
Central,Tailevu,Nausori,Prasads Farm Care - Nausori,3477205
Central,Tailevu,Nausori,Quality Seeds Centre,9700515
Central,Tailevu,Nausori,AgriPod,9264096
Central,Tailevu,Korovou,Korovou Post Office,3430012
Western,Ra,Rakiraki,Rakiraki Post Office,6694060
Western,Ba,Tavua,Tavua Post Office,6690239
Western,Ba,Vatukoula,Vatukoula Post Office,6680639
Western,Ba,Ba,Ba Post Office,6674341
Western,Ba,Lautoka,Lautoka Post Office,6665161
Western,Ba,Lautoka,Lautoka Farm Chemicals,8361972
Western,Ba,Sabeto,Sabeto Post Office,6030699
Western,Ba,Nadi,Nadi Post Office,6700001
Western,Ba,Nadi,Jetset Hardware,9973080
Western,Ba,Nadi,Bombay General Traders,9225389
Western,Ba,Nadi,Prasads Farm Care - Nadi,2005295
Western,Nadroga-Navosa,Sigatoka,Sigatoka Post Office,6500321
Western,Nadroga-Navosa,Sigatoka,Monika's Market Stall,9916689
Western,Nadroga-Navosa,Sigatoka,Lal's Trading,9427092
Western,Nadroga-Navosa,Sigatoka,Sigatoka Chemical Suppliers,9920975
Western,Nadroga-Navosa,Sigatoka,Kavasutra Kava Bar - Lawai,9738068
Western,Nadroga-Navosa,Keiyasi,Keiyasi Post Office,6030686
Western,Nadroga-Navosa,Korolevu,Korolevu Post Office,6530554
Central,Naitasiri,Lomaivuna,Lomaivuna Post Office,6030701
Central,Naitasiri,Vunidawa,Vunidawa Post Office,6030703
Central,Tailevu,Nayavu,Nayavu Post Office,6030585
Northern,Bua,Daria,Daria Post Office,8283990
Northern,Macuata,Dreketi,Dreketi Post Office,8280996
Northern,Macuata,Labasa,Labasa Post Office,8812380
Eastern,Lau,Lakeba Island,Lakeba Island Post Office,8280669
Northern,Macuata,Lakeba Village,Lakeba Village Post Office,6030729
Northern,Bua,Lekutu,Lekutu Post Office,8283845
Central,Rewa,Lami,Lami Post Office,3361101
Eastern,Lomaiviti,Ovalau,Levuka Post Office,3440141
Eastern,Lau,Vanuabalavu,Lomaloma Post Office,6030238
Eastern,Lau,Matuku,Matuku Post Office,6030737
Northern,Bua,Nabouwalu,Nabouwalu Post Office,8283253
Eastern,Kadavu,Kadavu,Naleca Post Office,6030787
Northern,Bua,Namalata,Namalata Post Office,8283170
Eastern,Lau,Moala,Naroi Post Office,6030306
Eastern,Lomaiviti,Koro,Nasau Post Office,3681001
Northern,Cakaudrove,Natewa,Natewa Post Office,6030731
Eastern,Lomaiviti,Gau,Qarani Post Office,6030727
Northern,Cakaudrove,Rabi,Rabi Post Office,8280866
Rotuma,Rotuma,Rotuma,Rotuma Post Office,8891003
Northern,Cakaudrove,Savusavu,Savusavu Post Office,8850310
Northern,Macuata,Seaqaqa,Seaqaqa Post Office,8860001
Northern,Cakaudrove,Tukavesi,Tukavesi Post Office,8283048
Northern,Macuata,Wainikoro,Wainikoro Post Office,8283935
Northern,Cakaudrove,Taveuni,Waiyevo Post Office,8880019
Eastern,Kadavu,Kadavu,Vunisea Post Office,3681275
Northern,Cakaudrove,Savusavu,Paradise Handling,9256923
Northern,Macuata,Labasa,A. Hussain,9921566
Northern,Macuata,Labasa,Munaf Motor Parts & Hardware,8961242
Northern,Cakaudrove,Taveuni,Krirup Hardware,9775229

